Cell	Group	ExpLibSize
Cell1618	Group2	46999.5960916079
Cell1619	Group2	45211.9183437474
Cell1620	Group2	69158.0560534636
Cell1621	Group2	60913.3170555168
Cell1622	Group2	58318.6134605685
Cell1623	Group2	42821.2435994254
Cell1624	Group2	53428.5433521328
Cell1625	Group2	62220.5761429237
Cell1626	Group2	54324.7615531484
Cell1627	Group2	60855.4587443742
Cell1628	Group2	64665.2634138999
Cell1629	Group2	58250.0136517289
Cell1630	Group2	65219.8155910047
Cell1631	Group2	57033.1017259969
Cell1632	Group2	56180.7490962482
Cell1633	Group2	56907.2894242502
Cell1634	Group2	68034.9951292149
Cell1635	Group2	70559.6038739235
Cell1636	Group2	95520.4669688066
Cell1637	Group2	49184.7300012049
Cell1638	Group2	51974.5010045853
Cell1639	Group2	68106.6283683732
Cell1640	Group2	83077.8223355135
Cell1641	Group2	76521.6996335716
Cell1642	Group2	54527.4147074876
Cell1643	Group2	52279.1959143883
Cell1644	Group2	84059.5247014725
Cell1645	Group2	81517.2040848679
Cell1646	Group2	62498.9801763014
Cell1647	Group2	84131.6118289297
Cell1648	Group2	59778.5771472717
Cell1649	Group2	50839.0443052438
Cell1650	Group2	59271.150510703
Cell1651	Group2	60838.8727022253
Cell1652	Group2	43830.5253937243
Cell1653	Group2	57855.3037013804
Cell1654	Group2	55065.4954129197
Cell1655	Group2	66055.9483118191
Cell1656	Group2	53839.049701977
Cell1657	Group2	65936.2749516084
Cell1658	Group2	66653.1914385669
Cell1659	Group2	56620.9965073122
Cell1660	Group2	59355.4098223007
Cell1661	Group2	96404.0081825959
Cell1662	Group2	81601.7692474443
Cell1663	Group2	81711.693647445
Cell1664	Group2	60574.0732300673
Cell1665	Group2	50617.0733777112
Cell1666	Group2	67119.150842733
Cell1667	Group2	60670.2994421512
Cell1668	Group2	122630.604301273
Cell1669	Group2	40685.2496495807
Cell1670	Group2	57493.8634884819
Cell1671	Group2	80558.8329729662
Cell1672	Group2	39351.7891325551
Cell1673	Group2	56844.245229916
Cell1674	Group2	64011.2153720574
Cell1675	Group2	57300.9499828859
Cell1676	Group2	49694.306060887
Cell1677	Group2	58428.0847422788
Cell1678	Group2	78253.2534123207
Cell1679	Group2	45721.9497290183
Cell1680	Group2	79456.6719299821
Cell1681	Group2	71884.0576115285
Cell1682	Group2	46754.3424157377
Cell1683	Group2	44349.11040679
Cell1684	Group2	60289.1683230235
Cell1685	Group2	63402.5860534815
Cell1686	Group2	75905.2870278848
Cell1687	Group2	59426.1786116669
Cell1688	Group2	65125.6864041225
Cell1689	Group2	77485.7475980344
Cell1690	Group2	75670.0588206866
Cell1691	Group2	70630.5981266116
Cell1692	Group2	63881.3932820169
Cell1693	Group2	64614.2389258248
Cell1694	Group2	76154.8401134348
Cell1695	Group2	74640.6952468631
Cell1696	Group2	59142.0237224924
Cell1697	Group2	64403.160231049
Cell1698	Group2	83994.8242618836
Cell1699	Group2	80360.1272554265
Cell1700	Group2	49244.3770117181
Cell1701	Group2	79988.6745025732
Cell1702	Group2	58854.8114897996
Cell1703	Group2	43706.2346248927
Cell1704	Group2	77535.8145555939
Cell1705	Group2	60894.2207068466
Cell1706	Group2	72650.03852613
Cell1707	Group2	88240.6128215175
Cell1708	Group2	74308.0468974159
Cell1709	Group2	55786.1714753259
Cell1710	Group2	58280.0649674998
Cell1711	Group2	49147.1192929838
Cell1712	Group2	50800.3422519974
Cell1713	Group2	66032.7549158541
Cell1714	Group2	56395.4921694384
Cell1715	Group2	68299.0393096106
Cell1716	Group2	70719.8735967855
Cell1717	Group2	64388.6498661107
Cell1718	Group2	55285.7720770076
Cell1719	Group2	44374.2223491898
Cell1720	Group2	61262.6498382535
Cell1721	Group2	48651.439522183
Cell1722	Group2	68131.5568213027
Cell1723	Group2	69882.3980267137
Cell1724	Group2	63780.5032937948
Cell1725	Group2	48648.5574236729
Cell1726	Group2	51481.2293710899
Cell1727	Group2	54268.4951682527
Cell1728	Group2	61663.3573292692
Cell1729	Group2	95922.9561997811
Cell1730	Group2	49804.7802109977
Cell1731	Group2	38895.3678207608
Cell1732	Group2	58449.5922067334
Cell1733	Group2	50622.4855024184
Cell1734	Group2	38774.2644534587
Cell1735	Group2	50268.7255752629
Cell1736	Group2	55563.6300395738
Cell1737	Group2	48029.0088113638
Cell1738	Group2	69087.6986953257
Cell1739	Group2	71791.980825872
Cell1740	Group2	56108.2967786315
Cell1741	Group2	44519.5106457131
Cell1742	Group2	67429.2532872869
Cell1743	Group2	50464.483084764
Cell1744	Group2	50717.0027172494
Cell1745	Group2	61686.5603101805
Cell1746	Group2	49255.22792476
Cell1747	Group2	56447.3214484428
Cell1748	Group2	51318.4192712144
Cell1749	Group2	64760.8634912585
Cell1750	Group2	50551.0410664602
Cell1751	Group2	50576.7879477738
Cell1752	Group2	49395.8806053015
Cell1753	Group2	60006.6057316284
Cell1754	Group2	76342.8602679604
Cell1755	Group2	50122.450318553
Cell1756	Group2	62543.6662821542
Cell1757	Group2	52510.9290911049
Cell1758	Group2	48160.6140709405
Cell1759	Group2	74475.5512689735
Cell1760	Group2	53431.4357216785
Cell1761	Group2	82798.2351984747
Cell1762	Group2	52187.7102789977
Cell1763	Group2	68281.8547698204
Cell1764	Group2	74767.489942424
Cell1765	Group2	91871.3167589724
Cell1766	Group2	50706.3099363515
Cell1767	Group2	60796.1152038646
Cell1768	Group2	72197.8025801521
Cell1769	Group2	54158.307626144
Cell1770	Group2	67438.4556480559
Cell1771	Group2	54933.0124347947
Cell1772	Group2	47730.8008906076
Cell1773	Group2	38275.5154728063
Cell1774	Group2	66365.1875761809
Cell1775	Group2	55916.7120040077
Cell1776	Group2	84421.3394544245
Cell1777	Group2	47892.9896232942
Cell1778	Group2	54301.3341807159
Cell1779	Group2	70366.0695034163
Cell1780	Group2	56828.7848383945
Cell1781	Group2	66013.3308748691
Cell1782	Group2	78476.678008352
Cell1783	Group2	92536.9328866404
Cell1784	Group2	60492.6665269546
Cell1785	Group2	50634.1187149394
Cell1786	Group2	48198.202081935
Cell1787	Group2	53674.5074503134
Cell1788	Group2	54978.5319073445
Cell1789	Group2	46995.1878330762
Cell1790	Group2	67478.1148305486
Cell1791	Group2	79600.7789681628
Cell1792	Group2	54794.2354501969
Cell1793	Group2	48626.9560258874
Cell1794	Group2	46407.6958973847
Cell1795	Group2	69844.7584932198
Cell1796	Group2	60252.8121164294
Cell1797	Group2	40905.878066523
Cell1798	Group2	58410.3841951723
Cell1799	Group2	59878.0741050898
Cell1800	Group2	50576.6016859614
Cell1801	Group2	46898.1414592305
Cell1802	Group2	54688.1758419769
Cell1803	Group2	52027.9323407591
Cell1804	Group2	52319.4734945547
Cell1805	Group2	37774.7195126713
Cell1806	Group2	58112.3461790071
Cell1807	Group2	72383.8087992364
Cell1808	Group2	75453.5483391476
Cell1809	Group2	90659.9068636412
Cell1810	Group2	63136.7314500727
Cell1811	Group2	48513.5895299609
Cell1812	Group2	66202.1651274985
Cell1813	Group2	74605.4622950339
Cell1814	Group2	87317.0447411932
Cell1815	Group2	70421.2751366833
Cell1816	Group2	79510.8493989951
Cell1817	Group2	65370.9977978946
Cell1818	Group2	46374.2523654373
Cell1819	Group2	50398.9368180858
Cell1820	Group2	87325.4458231359
Cell1821	Group2	68927.9794677663
Cell1822	Group2	52389.2080018028
Cell1823	Group2	51992.6234925504
Cell1824	Group2	49804.2840302738
Cell1825	Group2	61678.7448347631
Cell1826	Group2	56953.8476092164
Cell1827	Group2	49595.0450321637
Cell1828	Group2	76331.4105101614
Cell1829	Group2	60096.884861948
Cell1830	Group2	69672.874076878
Cell1831	Group2	55491.6290261317
Cell1832	Group2	62006.2051863155
Cell1833	Group2	73622.4040909247
Cell1834	Group2	68538.0811575724
Cell1835	Group2	72276.639338312
Cell1836	Group2	41550.8802549499
Cell1837	Group2	62034.1845790028
Cell1838	Group2	57620.773206356
Cell1839	Group2	52573.1208678143
Cell1840	Group2	53522.678044344
Cell1841	Group2	83713.3011694331
Cell1842	Group2	65258.1955820657
Cell1843	Group2	58167.3032445238
Cell1844	Group2	72244.0422544635
Cell1845	Group2	53685.6301704207
Cell1846	Group2	61560.1529577257
Cell1847	Group2	79967.2506262485
Cell1848	Group2	56020.5789111947
Cell1849	Group2	51029.9883391024
Cell1850	Group2	53655.617605457
Cell1851	Group2	48525.308186112
Cell1852	Group2	62977.4810740573
Cell1853	Group2	63931.8128911617
Cell1854	Group2	71049.6693747705
Cell1855	Group2	85849.621230625
Cell1856	Group2	79304.3421687118
Cell1857	Group2	46622.644761561
Cell1858	Group2	89305.8050485492
Cell1859	Group2	61565.4242638204
Cell1860	Group2	55418.357425148
Cell1861	Group2	86779.625001551
Cell1862	Group2	65236.2827411637
Cell1863	Group2	84639.6428898514
Cell1864	Group2	59355.2150248281
Cell1865	Group2	51729.4659099026
Cell1866	Group2	40408.9746772824
Cell1867	Group2	75009.7259195131
Cell1868	Group2	50130.411672039
Cell1869	Group2	71272.9286572546
Cell1870	Group2	61327.198184751
Cell1871	Group2	65807.3615661581
Cell1872	Group2	77136.2009641179
Cell1873	Group2	54335.6986826992
Cell1874	Group2	54594.7652592002
Cell1875	Group2	57162.212163411
Cell1876	Group2	74018.5306100701
Cell1877	Group2	54450.2575893282
Cell1878	Group2	57808.8954771949
Cell1879	Group2	70211.3248616167
Cell1880	Group2	69964.9067493668
Cell1881	Group2	70218.0383282528
Cell1882	Group2	60464.4165366004
Cell1883	Group2	69739.5304238418
Cell1884	Group2	63398.6986333806
Cell1885	Group2	52756.2217562846
Cell1886	Group2	85894.6561715646
Cell1887	Group2	41249.6458139364
Cell1888	Group2	70905.6696545979
Cell1889	Group2	64108.5831588597
Cell1890	Group2	60147.5218605763
Cell1891	Group2	52982.6617547567
Cell1892	Group2	56834.2630471711
Cell1893	Group2	85916.7482632683
Cell1894	Group2	58723.7865820988
Cell1895	Group2	55442.5517500983
Cell1896	Group2	50227.9825402552
Cell1897	Group2	54224.292906139
Cell1898	Group2	58873.2148173366
Cell1899	Group2	45636.1564803047
Cell1900	Group2	75247.6206884738
Cell1901	Group2	61057.1388687419
Cell1902	Group2	80258.1991381732
Cell1903	Group2	72990.6894740355
Cell1904	Group2	79449.5374577151
Cell1905	Group2	45835.7872568705
Cell1906	Group2	67232.8151279902
Cell1907	Group2	55694.4487258756
Cell1908	Group2	59315.7121386489
Cell1909	Group2	53109.1498379214
Cell1910	Group2	62506.1917391855
Cell1911	Group2	61005.9266782574
Cell1912	Group2	39184.3658933497
Cell1913	Group2	71003.795885112
Cell1914	Group2	61751.5845236268
Cell1915	Group2	49297.4518439123
Cell1916	Group2	48036.40465864
Cell1917	Group2	52153.7320872292
Cell1918	Group2	43620.0861845741
Cell1919	Group2	61546.8045109827
Cell1920	Group2	80859.5348782682
Cell1921	Group2	62228.9943630112
Cell1922	Group2	66531.5098601848
Cell1923	Group2	44505.0854659928
Cell1924	Group2	44009.4584837381
Cell1925	Group2	50046.7787792456
Cell1926	Group2	69162.4936884573
Cell1927	Group2	50166.3424184612
Cell1928	Group2	66951.228813076
Cell1929	Group2	57311.2660769877
Cell1930	Group2	64648.7918500173
Cell1931	Group2	48638.7578140087
Cell1932	Group2	49523.4488378549
Cell1933	Group2	58639.7345163734
Cell1934	Group2	57426.3065426011
Cell1935	Group2	41867.0316033041
Cell1936	Group2	66663.7685533439
Cell1937	Group2	40540.6634820736
Cell1938	Group2	55102.6510651884
Cell1939	Group2	60537.9629566786
Cell1940	Group2	52031.2644431116
Cell1941	Group2	45217.1714713462
Cell1942	Group2	55283.8009280689
Cell1943	Group2	58566.3536040697
Cell1944	Group2	49770.8280748093
Cell1945	Group2	45640.5292418083
Cell1946	Group2	47149.5197979961
Cell1947	Group2	53868.568610581
Cell1948	Group2	54692.1037632287
Cell1949	Group2	79530.5925548744
Cell1950	Group2	46298.4504122749
Cell1951	Group2	64616.8045226875
Cell1952	Group2	55078.0351627831
Cell1953	Group2	60996.5316997311
Cell1954	Group2	52432.5621739976
Cell1955	Group2	70302.6995790553
Cell1956	Group2	42590.3708754979
Cell1957	Group2	61745.8110234962
Cell1958	Group2	60187.2069744865
Cell1959	Group2	73952.085987214
Cell1960	Group2	57245.629456428
Cell1961	Group2	66126.1313233915
Cell1962	Group2	64856.135176896
Cell1963	Group2	52607.6828508424
Cell1964	Group2	58879.4520440573
Cell1965	Group2	58295.2421947
Cell1966	Group2	74900.8689640962
Cell1967	Group2	62808.4058438977
Cell1968	Group2	63457.1683532393
Cell1969	Group2	95675.7628571126
Cell1970	Group2	65072.6503543096
Cell1971	Group2	64376.0028163141
Cell1972	Group2	66591.7866330387
Cell1973	Group2	81601.950811325
Cell1974	Group2	72569.3300258925
Cell1975	Group2	64067.1631129302
Cell1976	Group2	52987.3984487739
Cell1977	Group2	64306.1409339864
Cell1978	Group2	61592.8909358048
Cell1979	Group2	41470.6709072463
Cell1980	Group2	43993.3511265254
Cell1981	Group2	41819.7262527715
Cell1982	Group2	79451.5738983903
Cell1983	Group2	67755.9513949746
Cell1984	Group2	37418.0662865988
Cell1985	Group2	65736.283822879
Cell1986	Group2	60643.4182101636
Cell1987	Group2	56882.778494254
Cell1988	Group2	51590.6427179309
Cell1989	Group2	46452.9357536335
Cell1990	Group2	71148.5768767823
Cell1991	Group2	53349.1362113116
Cell1992	Group2	58311.0289546734
Cell1993	Group2	67330.2988501384
Cell1994	Group2	66635.9869639948
Cell1995	Group2	55343.6945810825
Cell1996	Group2	53738.1317285218
Cell1997	Group2	63063.0427151172
Cell1998	Group2	47303.7213943363
Cell1999	Group2	63654.6524582702
Cell2000	Group2	61988.0092310581
