Cell	Group	ExpLibSize
Cell1299	Cell1299	Group2	364287.764293489
Cell1300	Cell1300	Group2	495446.429075145
Cell1301	Cell1301	Group2	163879.576119702
Cell1302	Cell1302	Group2	223561.217421112
Cell1303	Cell1303	Group2	626023.310280775
Cell1304	Cell1304	Group2	444646.211506818
Cell1305	Cell1305	Group2	304138.93490554
Cell1306	Cell1306	Group2	309037.785252415
Cell1307	Cell1307	Group2	514022.523256883
Cell1308	Cell1308	Group2	288789.819521613
Cell1309	Cell1309	Group2	344366.067721208
Cell1310	Cell1310	Group2	124948.463625939
Cell1311	Cell1311	Group2	936953.526057087
Cell1312	Cell1312	Group2	517384.959815442
Cell1313	Cell1313	Group2	537999.095568966
Cell1314	Cell1314	Group2	107235.347011712
Cell1315	Cell1315	Group2	325471.006655931
Cell1316	Cell1316	Group2	258951.746104731
Cell1317	Cell1317	Group2	146453.304849475
Cell1318	Cell1318	Group2	505771.193691488
Cell1319	Cell1319	Group2	681697.660827002
Cell1320	Cell1320	Group2	237849.680627729
Cell1321	Cell1321	Group2	287876.169813639
Cell1322	Cell1322	Group2	903057.698822831
Cell1323	Cell1323	Group2	124665.165097086
Cell1324	Cell1324	Group2	510798.795501733
Cell1325	Cell1325	Group2	273843.181977458
Cell1326	Cell1326	Group2	307851.580539941
Cell1327	Cell1327	Group2	229893.891593219
Cell1328	Cell1328	Group2	628679.626105101
Cell1329	Cell1329	Group2	169613.727969894
Cell1330	Cell1330	Group2	580930.17006942
Cell1331	Cell1331	Group2	754540.790340216
Cell1332	Cell1332	Group2	125265.771113846
Cell1333	Cell1333	Group2	169640.051057229
Cell1334	Cell1334	Group2	466861.827286571
Cell1335	Cell1335	Group2	187574.850967646
Cell1336	Cell1336	Group2	219238.866610181
Cell1337	Cell1337	Group2	253455.192946725
Cell1338	Cell1338	Group2	268972.632655598
Cell1339	Cell1339	Group2	498749.282651438
Cell1340	Cell1340	Group2	230975.633920151
Cell1341	Cell1341	Group2	347298.836969535
Cell1342	Cell1342	Group2	508778.792812149
Cell1343	Cell1343	Group2	132966.441216216
Cell1344	Cell1344	Group2	219484.08856192
Cell1345	Cell1345	Group2	546787.744208844
Cell1346	Cell1346	Group2	263944.069395115
Cell1347	Cell1347	Group2	74003.1375499672
Cell1348	Cell1348	Group2	198781.287368005
Cell1349	Cell1349	Group2	532869.800515362
Cell1350	Cell1350	Group2	256272.418898906
Cell1351	Cell1351	Group2	259608.098577197
Cell1352	Cell1352	Group2	302376.966434974
Cell1353	Cell1353	Group2	503403.840262684
Cell1354	Cell1354	Group2	246717.112441917
Cell1355	Cell1355	Group2	436129.820331858
Cell1356	Cell1356	Group2	461830.78377496
Cell1357	Cell1357	Group2	180788.695502647
Cell1358	Cell1358	Group2	317697.273722397
Cell1359	Cell1359	Group2	239949.378790635
Cell1360	Cell1360	Group2	421230.556072012
Cell1361	Cell1361	Group2	135505.038265823
Cell1362	Cell1362	Group2	815896.583942238
Cell1363	Cell1363	Group2	728144.91540628
Cell1364	Cell1364	Group2	200540.130199844
Cell1365	Cell1365	Group2	222053.734082028
Cell1366	Cell1366	Group2	192934.384998208
Cell1367	Cell1367	Group2	304025.358774988
Cell1368	Cell1368	Group2	245275.579588419
Cell1369	Cell1369	Group2	352096.331099493
Cell1370	Cell1370	Group2	109162.823570759
Cell1371	Cell1371	Group2	361748.705992101
Cell1372	Cell1372	Group2	332525.508528461
Cell1373	Cell1373	Group2	128331.69162429
Cell1374	Cell1374	Group2	387659.254973142
Cell1375	Cell1375	Group2	340331.984779771
Cell1376	Cell1376	Group2	287641.69172194
Cell1377	Cell1377	Group2	326935.408417817
Cell1378	Cell1378	Group2	413362.76415501
Cell1379	Cell1379	Group2	404158.282664905
Cell1380	Cell1380	Group2	255515.077082312
Cell1381	Cell1381	Group2	648802.862758803
Cell1382	Cell1382	Group2	322475.450642265
Cell1383	Cell1383	Group2	304157.784975538
Cell1384	Cell1384	Group2	574805.448878973
Cell1385	Cell1385	Group2	591090.505377472
Cell1386	Cell1386	Group2	218061.573450993
Cell1387	Cell1387	Group2	183773.990530072
Cell1388	Cell1388	Group2	217426.830467604
Cell1389	Cell1389	Group2	164825.621805498
Cell1390	Cell1390	Group2	115379.76222999
Cell1391	Cell1391	Group2	395650.089205794
Cell1392	Cell1392	Group2	302494.354546524
Cell1393	Cell1393	Group2	481102.53935413
Cell1394	Cell1394	Group2	329168.874782659
Cell1395	Cell1395	Group2	419301.454525787
Cell1396	Cell1396	Group2	245996.190101757
Cell1397	Cell1397	Group2	187155.540725117
Cell1398	Cell1398	Group2	521105.911716786
Cell1399	Cell1399	Group2	515909.628606248
Cell1400	Cell1400	Group2	118652.930492724
Cell1401	Cell1401	Group2	552454.349012307
Cell1402	Cell1402	Group2	115912.900299492
Cell1403	Cell1403	Group2	320740.902294035
Cell1404	Cell1404	Group2	261105.773609211
Cell1405	Cell1405	Group2	305548.749422049
Cell1406	Cell1406	Group2	628510.15432664
Cell1407	Cell1407	Group2	157289.504417943
Cell1408	Cell1408	Group2	281786.467739962
Cell1409	Cell1409	Group2	1482851.82890221
Cell1410	Cell1410	Group2	137918.73448093
Cell1411	Cell1411	Group2	227789.04671779
Cell1412	Cell1412	Group2	321617.946078171
Cell1413	Cell1413	Group2	370681.328726395
Cell1414	Cell1414	Group2	240657.131929883
Cell1415	Cell1415	Group2	281695.409384081
Cell1416	Cell1416	Group2	624049.631383881
Cell1417	Cell1417	Group2	296210.289249042
Cell1418	Cell1418	Group2	382122.795963157
Cell1419	Cell1419	Group2	409627.900867272
Cell1420	Cell1420	Group2	418775.963997175
Cell1421	Cell1421	Group2	440401.889349578
Cell1422	Cell1422	Group2	340267.82097136
Cell1423	Cell1423	Group2	217035.742238876
Cell1424	Cell1424	Group2	318372.036828802
Cell1425	Cell1425	Group2	186790.526971318
Cell1426	Cell1426	Group2	348126.984498184
Cell1427	Cell1427	Group2	268431.754074217
Cell1428	Cell1428	Group2	307303.714573762
Cell1429	Cell1429	Group2	172442.505272929
Cell1430	Cell1430	Group2	278881.10548615
Cell1431	Cell1431	Group2	173395.610761583
Cell1432	Cell1432	Group2	259450.818795184
Cell1433	Cell1433	Group2	449418.430774617
Cell1434	Cell1434	Group2	379624.301212879
Cell1435	Cell1435	Group2	559353.71759487
Cell1436	Cell1436	Group2	439226.387825632
Cell1437	Cell1437	Group2	351962.136948636
Cell1438	Cell1438	Group2	593278.556201134
Cell1439	Cell1439	Group2	664875.487311161
Cell1440	Cell1440	Group2	144482.209950879
Cell1441	Cell1441	Group2	557309.584500315
Cell1442	Cell1442	Group2	521052.727412735
Cell1443	Cell1443	Group2	573890.699853116
Cell1444	Cell1444	Group2	192898.555584737
Cell1445	Cell1445	Group2	1361948.61836577
Cell1446	Cell1446	Group2	71468.1461863279
Cell1447	Cell1447	Group2	330825.663529652
Cell1448	Cell1448	Group2	353232.39600929
Cell1449	Cell1449	Group2	301678.050605226
Cell1450	Cell1450	Group2	511899.076213612
Cell1451	Cell1451	Group2	354468.153342408
Cell1452	Cell1452	Group2	208343.729165623
Cell1453	Cell1453	Group2	756129.033309289
Cell1454	Cell1454	Group2	277106.612423723
Cell1455	Cell1455	Group2	472153.839623783
Cell1456	Cell1456	Group2	222494.247751472
Cell1457	Cell1457	Group2	176471.910740141
Cell1458	Cell1458	Group2	230590.478396694
Cell1459	Cell1459	Group2	176788.387816502
Cell1460	Cell1460	Group2	451062.713547917
Cell1461	Cell1461	Group2	132052.086382688
Cell1462	Cell1462	Group2	185139.820361935
Cell1463	Cell1463	Group2	334816.642122278
Cell1464	Cell1464	Group2	119927.69787661
Cell1465	Cell1465	Group2	244719.898589008
Cell1466	Cell1466	Group2	275314.948120595
Cell1467	Cell1467	Group2	728170.716259084
Cell1468	Cell1468	Group2	283108.787104923
Cell1469	Cell1469	Group2	242081.659198485
Cell1470	Cell1470	Group2	222926.196971831
Cell1471	Cell1471	Group2	428808.523186299
Cell1472	Cell1472	Group2	272968.649774822
Cell1473	Cell1473	Group2	239176.875708007
Cell1474	Cell1474	Group2	279440.745029406
Cell1475	Cell1475	Group2	617134.367933694
Cell1476	Cell1476	Group2	829788.448204342
Cell1477	Cell1477	Group2	225582.337612573
Cell1478	Cell1478	Group2	333498.38158088
Cell1479	Cell1479	Group2	272208.527589554
Cell1480	Cell1480	Group2	984129.533711598
Cell1481	Cell1481	Group2	466646.942789528
Cell1482	Cell1482	Group2	115418.528298256
Cell1483	Cell1483	Group2	255139.648748595
Cell1484	Cell1484	Group2	85359.2256959588
Cell1485	Cell1485	Group2	311930.930134369
Cell1486	Cell1486	Group2	498827.523086517
Cell1487	Cell1487	Group2	194531.947770832
Cell1488	Cell1488	Group2	154781.109829403
Cell1489	Cell1489	Group2	690449.241067147
Cell1490	Cell1490	Group2	186657.628616925
Cell1491	Cell1491	Group2	562466.900561726
Cell1492	Cell1492	Group2	373777.684818597
Cell1493	Cell1493	Group2	553669.135636016
Cell1494	Cell1494	Group2	594759.388050507
Cell1495	Cell1495	Group2	644890.294377823
Cell1496	Cell1496	Group2	682463.156093872
Cell1497	Cell1497	Group2	392121.682548224
Cell1498	Cell1498	Group2	364575.790322259
Cell1499	Cell1499	Group2	187676.522382522
Cell1500	Cell1500	Group2	161496.799442205
Cell1501	Cell1501	Group2	231196.549186161
Cell1502	Cell1502	Group2	304155.148349756
Cell1503	Cell1503	Group2	184184.319211505
Cell1504	Cell1504	Group2	537884.112950459
Cell1505	Cell1505	Group2	206267.030515858
Cell1506	Cell1506	Group2	402670.7754623
Cell1507	Cell1507	Group2	550224.660490117
Cell1508	Cell1508	Group2	164206.790201505
Cell1509	Cell1509	Group2	601932.13328988
Cell1510	Cell1510	Group2	95149.5891774676
Cell1511	Cell1511	Group2	377248.357324307
Cell1512	Cell1512	Group2	802804.467712792
Cell1513	Cell1513	Group2	457035.965010846
Cell1514	Cell1514	Group2	564822.753656271
Cell1515	Cell1515	Group2	237825.550707004
Cell1516	Cell1516	Group2	392809.420182676
Cell1517	Cell1517	Group2	632276.511402734
Cell1518	Cell1518	Group2	150585.981441325
Cell1519	Cell1519	Group2	594461.336650704
Cell1520	Cell1520	Group2	143640.636142464
Cell1521	Cell1521	Group2	245601.910791433
Cell1522	Cell1522	Group2	1544782.84689619
Cell1523	Cell1523	Group2	445138.842857643
Cell1524	Cell1524	Group2	312321.123748704
Cell1525	Cell1525	Group2	586485.719152152
Cell1526	Cell1526	Group2	285407.659212733
Cell1527	Cell1527	Group2	475259.910448306
Cell1528	Cell1528	Group2	268955.046152563
Cell1529	Cell1529	Group2	82274.7319598252
Cell1530	Cell1530	Group2	435213.344508189
Cell1531	Cell1531	Group2	243771.370168524
Cell1532	Cell1532	Group2	235011.426056986
Cell1533	Cell1533	Group2	330228.694964428
Cell1534	Cell1534	Group2	726659.171592851
Cell1535	Cell1535	Group2	392135.543269674
Cell1536	Cell1536	Group2	541018.182057221
Cell1537	Cell1537	Group2	477295.607501076
Cell1538	Cell1538	Group2	349813.799921992
Cell1539	Cell1539	Group2	489268.753594148
Cell1540	Cell1540	Group2	303707.483991492
Cell1541	Cell1541	Group2	157837.675098983
Cell1542	Cell1542	Group2	404375.369522191
Cell1543	Cell1543	Group2	86113.6126500376
Cell1544	Cell1544	Group2	184299.761351381
Cell1545	Cell1545	Group2	318133.819145146
Cell1546	Cell1546	Group2	299718.460379229
Cell1547	Cell1547	Group2	257214.309635568
Cell1548	Cell1548	Group2	589890.257238413
Cell1549	Cell1549	Group2	175463.167235645
Cell1550	Cell1550	Group2	70656.2857597346
Cell1551	Cell1551	Group2	521818.510960258
Cell1552	Cell1552	Group2	338363.335496727
Cell1553	Cell1553	Group2	309091.237815152
Cell1554	Cell1554	Group2	261667.50302444
Cell1555	Cell1555	Group2	121963.467117518
Cell1556	Cell1556	Group2	187973.597062205
Cell1557	Cell1557	Group2	444287.012675874
Cell1558	Cell1558	Group2	333163.446107524
Cell1559	Cell1559	Group2	142830.029832487
Cell1560	Cell1560	Group2	468687.87910934
Cell1561	Cell1561	Group2	523643.926632027
Cell1562	Cell1562	Group2	304367.209130482
Cell1563	Cell1563	Group2	326325.390438162
Cell1564	Cell1564	Group2	755731.403455635
Cell1565	Cell1565	Group2	415778.043240803
Cell1566	Cell1566	Group2	675996.64342951
Cell1567	Cell1567	Group2	320856.20443233
Cell1568	Cell1568	Group2	787708.697292448
Cell1569	Cell1569	Group2	315122.813692481
Cell1570	Cell1570	Group2	565778.417071956
Cell1571	Cell1571	Group2	268925.974237315
Cell1572	Cell1572	Group2	174701.062562517
Cell1573	Cell1573	Group2	594430.028824428
Cell1574	Cell1574	Group2	1274291.40584884
Cell1575	Cell1575	Group2	271937.067264764
Cell1576	Cell1576	Group2	782790.505255481
Cell1577	Cell1577	Group2	286570.113965552
Cell1578	Cell1578	Group2	567696.386322763
Cell1579	Cell1579	Group2	183976.2140316
Cell1580	Cell1580	Group2	387584.627169663
Cell1581	Cell1581	Group2	210117.877248005
Cell1582	Cell1582	Group2	148562.666493745
Cell1583	Cell1583	Group2	484651.153850035
Cell1584	Cell1584	Group2	850484.478094749
Cell1585	Cell1585	Group2	207064.794614052
Cell1586	Cell1586	Group2	195752.072244666
Cell1587	Cell1587	Group2	175163.574267437
Cell1588	Cell1588	Group2	251552.923621407
Cell1589	Cell1589	Group2	487693.549452084
Cell1590	Cell1590	Group2	501261.864070911
Cell1591	Cell1591	Group2	427732.01577668
Cell1592	Cell1592	Group2	515443.826288542
Cell1593	Cell1593	Group2	249966.852667958
Cell1594	Cell1594	Group2	297615.810033092
Cell1595	Cell1595	Group2	492429.018699978
Cell1596	Cell1596	Group2	279127.500941098
Cell1597	Cell1597	Group2	186988.62125064
Cell1598	Cell1598	Group2	146344.305282536
Cell1599	Cell1599	Group2	1614404.66760115
Cell1600	Cell1600	Group2	121053.27064067
Cell1601	Cell1601	Group2	335230.773726256
Cell1602	Cell1602	Group2	1029749.46523001
Cell1603	Cell1603	Group2	539657.033865938
Cell1604	Cell1604	Group2	295408.526773389
Cell1605	Cell1605	Group2	451121.895782295
Cell1606	Cell1606	Group2	943015.37619148
Cell1607	Cell1607	Group2	368433.396554347
Cell1608	Cell1608	Group2	235637.304709903
Cell1609	Cell1609	Group2	775006.904755645
Cell1610	Cell1610	Group2	990876.278236703
Cell1611	Cell1611	Group2	184479.45932785
Cell1612	Cell1612	Group2	503193.444153142
Cell1613	Cell1613	Group2	355579.247643898
Cell1614	Cell1614	Group2	498145.301798558
Cell1615	Cell1615	Group2	449362.986841497
Cell1616	Cell1616	Group2	325533.054609844
Cell1617	Cell1617	Group2	426548.544651328
Cell1618	Cell1618	Group2	161485.435968238
Cell1619	Cell1619	Group2	144054.509491076
Cell1620	Cell1620	Group2	503784.407770709
Cell1621	Cell1621	Group2	346621.278512927
Cell1622	Cell1622	Group2	304908.476092089
Cell1623	Cell1623	Group2	122752.586513912
Cell1624	Cell1624	Group2	235580.330562291
Cell1625	Cell1625	Group2	368993.224712909
Cell1626	Cell1626	Group2	247411.059001497
Cell1627	Cell1627	Group2	345652.39140337
Cell1628	Cell1628	Group2	413350.113888157
Cell1629	Cell1629	Group2	303853.229480348
Cell1630	Cell1630	Group2	423878.768999871
Cell1631	Cell1631	Group2	285532.815065752
Cell1632	Cell1632	Group2	273145.299242453
Cell1633	Cell1633	Group2	283681.477364182
Cell1634	Cell1634	Group2	480065.67548432
Cell1635	Cell1635	Group2	534453.978519873
Cell1636	Cell1636	Group2	1304272.4507043
Cell1637	Cell1637	Group2	184615.067820688
Cell1638	Cell1638	Group2	217191.35436013
Cell1639	Cell1639	Group2	481556.043159634
Cell1640	Cell1640	Group2	864639.068653584
Cell1641	Cell1641	Group2	678699.301599565
Cell1642	Cell1642	Group2	250139.505395438
Cell1643	Cell1643	Group2	220963.230346159
Cell1644	Cell1644	Group2	895081.369830995
Cell1645	Cell1645	Group2	817665.82014372
Cell1646	Cell1646	Group2	373877.662353718
Cell1647	Cell1647	Group2	897344.248952102
Cell1648	Cell1648	Group2	327944.159059497
Cell1649	Cell1649	Group2	203510.141761658
Cell1650	Cell1650	Group2	319812.07109035
Cell1651	Cell1651	Group2	345374.974165449
Cell1652	Cell1652	Group2	131471.591670282
Cell1653	Cell1653	Group2	297828.387410659
Cell1654	Cell1654	Group2	257480.290751477
Cell1655	Cell1655	Group2	440085.946761352
Cell1656	Cell1656	Group2	240951.799386556
Cell1657	Cell1657	Group2	437741.592544546
Cell1658	Cell1658	Group2	451909.727593489
Cell1659	Cell1659	Group2	279498.242336603
Cell1660	Cell1660	Group2	321153.092268057
Cell1661	Cell1661	Group2	1340128.79891756
Cell1662	Cell1662	Group2	820166.868260021
Cell1663	Cell1663	Group2	823425.471788304
Cell1664	Cell1664	Group2	340965.848615231
Cell1665	Cell1665	Group2	200903.960418295
Cell1666	Cell1666	Group2	461278.754687973
Cell1667	Cell1667	Group2	342563.765688373
Cell1668	Cell1668	Group2	2722495.80196503
Cell1669	Cell1669	Group2	105578.10774271
Cell1670	Cell1670	Group2	292381.065277978
Cell1671	Cell1671	Group2	789672.833061402
Cell1672	Cell1672	Group2	95707.1649751644
Cell1673	Cell1673	Group2	282756.766706289
Cell1674	Cell1674	Group2	401156.230246285
Cell1675	Cell1675	Group2	289500.764603189
Cell1676	Cell1676	Group2	190305.966967882
Cell1677	Cell1677	Group2	306597.442788991
Cell1678	Cell1678	Group2	724939.249426284
Cell1679	Cell1679	Group2	148893.928981096
Cell1680	Cell1680	Group2	758271.264058995
Cell1681	Cell1681	Group2	564546.693056334
Cell1682	Cell1682	Group2	159015.907390042
Cell1683	Cell1683	Group2	136106.374393909
Cell1684	Cell1684	Group2	336263.647672826
Cell1685	Cell1685	Group2	390024.756034056
Cell1686	Cell1686	Group2	662721.307689151
Cell1687	Cell1687	Group2	322282.271733834
Cell1688	Cell1688	Group2	422079.308481318
Cell1689	Cell1689	Group2	704195.075057053
Cell1690	Cell1690	Group2	656690.101280645
Cell1691	Cell1691	Group2	536039.48555607
Cell1692	Cell1692	Group2	398764.485921332
Cell1693	Cell1693	Group2	412390.142980717
Cell1694	Cell1694	Group2	669159.676073785
Cell1695	Cell1695	Group2	630723.768645907
Cell1696	Cell1696	Group2	317764.151413639
Cell1697	Cell1697	Group2	408434.570300998
Cell1698	Cell1698	Group2	893053.577836019
Cell1699	Cell1699	Group2	783949.253867614
Cell1700	Cell1700	Group2	185275.31045571
Cell1701	Cell1701	Group2	773323.435974196
Cell1702	Cell1702	Group2	313240.135726942
Cell1703	Cell1703	Group2	130376.47261473
Cell1704	Cell1704	Group2	705536.174881084
Cell1705	Cell1705	Group2	346301.295696817
Cell1706	Cell1706	Group2	582450.466470918
Cell1707	Cell1707	Group2	1032664.61708791
Cell1708	Cell1708	Group2	622479.911563279
Cell1709	Cell1709	Group2	267533.091605145
Cell1710	Cell1710	Group2	304315.200841379
Cell1711	Cell1711	Group2	184199.548647274
Cell1712	Cell1712	Group2	203054.139671704
Cell1713	Cell1713	Group2	439630.950982179
Cell1714	Cell1714	Group2	276232.074049666
Cell1715	Cell1715	Group2	485574.376707363
Cell1716	Cell1716	Group2	538037.670686413
Cell1717	Cell1717	Group2	408163.573437386
Cell1718	Cell1718	Group2	260525.993871021
Cell1719	Cell1719	Group2	136333.506670872
Cell1720	Cell1720	Group2	352509.288892633
Cell1721	Cell1721	Group2	178780.921650728
Cell1722	Cell1722	Group2	482075.40879262
Cell1723	Cell1723	Group2	519485.443342483
Cell1724	Cell1724	Group2	396912.282996534
Cell1725	Cell1725	Group2	178749.727363065
Cell1726	Cell1726	Group2	211175.627362157
Cell1727	Cell1727	Group2	246657.011947895
Cell1728	Cell1728	Group2	359344.127344305
Cell1729	Cell1729	Group2	1320526.84553975
Cell1730	Cell1730	Group2	191554.819248612
Cell1731	Cell1731	Group2	92474.1929958643
Cell1732	Cell1732	Group2	306929.993128665
Cell1733	Cell1733	Group2	200967.240966837
Cell1734	Cell1734	Group2	91628.6638194528
Cell1735	Cell1735	Group2	196858.57904267
Cell1736	Cell1736	Group2	264401.672649443
Cell1737	Cell1737	Group2	172127.186556207
Cell1738	Cell1738	Group2	502276.247835623
Cell1739	Cell1739	Group2	562419.328236845
Cell1740	Cell1740	Group2	272109.013936913
Cell1741	Cell1741	Group2	137652.524734106
Cell1742	Cell1742	Group2	467584.527706182
Cell1743	Cell1743	Group2	199125.230785941
Cell1744	Cell1744	Group2	202074.494474178
Cell1745	Cell1745	Group2	359742.557250071
Cell1746	Cell1746	Group2	185395.588421476
Cell1747	Cell1747	Group2	276980.517315517
Cell1748	Cell1748	Group2	209214.502532983
Cell1749	Cell1749	Group2	415152.697718951
Cell1750	Cell1750	Group2	200132.945976045
Cell1751	Cell1751	Group2	200433.341925929
Cell1752	Cell1752	Group2	186959.33613897
Cell1753	Cell1753	Group2	331642.610335231
Cell1754	Cell1754	Group2	674037.712762052
Cell1755	Cell1755	Group2	195176.047562235
Cell1756	Cell1756	Group2	374665.60920515
Cell1757	Cell1757	Group2	223860.683020704
Cell1758	Cell1758	Group2	173520.157218796
Cell1759	Cell1759	Group2	626622.133855603
Cell1760	Cell1760	Group2	235617.897703344
Cell1761	Cell1761	Group2	856096.073583964
Cell1762	Cell1762	Group2	219826.20459128
Cell1763	Cell1763	Group2	485214.595418304
Cell1764	Cell1764	Group2	633884.938737681
Cell1765	Cell1765	Group2	1162893.6660088
Cell1766	Cell1766	Group2	201949.028686349
Cell1767	Cell1767	Group2	344660.492892888
Cell1768	Cell1768	Group2	571835.431902583
Cell1769	Cell1769	Group2	245184.747253838
Cell1770	Cell1770	Group2	467772.51759634
Cell1771	Cell1771	Group2	255659.862870554
Cell1772	Cell1772	Group2	168998.190935822
Cell1773	Cell1773	Group2	88200.2798570977
Cell1774	Cell1774	Group2	446182.188777151
Cell1775	Cell1775	Group2	269381.297327677
Cell1776	Cell1776	Group2	906477.167906658
Cell1777	Cell1777	Group2	170695.279588711
Cell1778	Cell1778	Group2	247096.915224405
Cell1779	Cell1779	Group2	530147.534846826
Cell1780	Cell1780	Group2	282530.303378578
Cell1781	Cell1781	Group2	439250.139572155
Cell1782	Cell1782	Group2	731052.914166347
Cell1783	Cell1783	Group2	1187885.99562632
Cell1784	Cell1784	Group2	339617.87256498
Cell1785	Cell1785	Group2	201103.305316719
Cell1786	Cell1786	Group2	173919.368445439
Cell1787	Cell1787	Group2	238789.159526294
Cell1788	Cell1788	Group2	256284.376877464
Cell1789	Cell1789	Group2	161440.825943101
Cell1790	Cell1790	Group2	468583.264067854
Cell1791	Cell1791	Group2	762329.256175197
Cell1792	Cell1792	Group2	253762.088227129
Cell1793	Cell1793	Group2	178516.039867305
Cell1794	Cell1794	Group2	155568.163434006
Cell1795	Cell1795	Group2	518661.707338068
Cell1796	Cell1796	Group2	335666.708330043
Cell1797	Cell1797	Group2	107273.432825966
Cell1798	Cell1798	Group2	306323.933942461
Cell1799	Cell1799	Group2	329554.555863251
Cell1800	Cell1800	Group2	200431.167689369
Cell1801	Cell1801	Group2	160460.811728195
Cell1802	Cell1802	Group2	252318.013439209
Cell1803	Cell1803	Group2	217849.69138017
Cell1804	Cell1804	Group2	221465.0477573
Cell1805	Cell1805	Group2	84844.1746931464
Cell1806	Cell1806	Group2	301742.823047527
Cell1807	Cell1807	Group2	576185.822945393
Cell1808	Cell1808	Group2	651170.957033409
Cell1809	Cell1809	Group2	1118304.04931963
Cell1810	Cell1810	Group2	385227.173552861
Cell1811	Cell1811	Group2	177292.930291454
Cell1812	Cell1812	Group2	442961.513741038
Cell1813	Cell1813	Group2	629847.214158417
Cell1814	Cell1814	Group2	1001151.1779031
Cell1815	Cell1815	Group2	531373.601429152
Cell1816	Cell1816	Group2	759795.200201761
Cell1817	Cell1817	Group2	426779.500257184
Cell1818	Cell1818	Group2	155238.170859102
Cell1819	Cell1819	Group2	198364.369696455
Cell1820	Cell1820	Group2	1001434.93210654
Cell1821	Cell1821	Group2	498863.628466047
Cell1822	Cell1822	Group2	222335.647095525
Cell1823	Cell1823	Group2	217414.497287085
Cell1824	Cell1824	Group2	191549.198119814
Cell1825	Cell1825	Group2	359608.321269329
Cell1826	Cell1826	Group2	284365.657585255
Cell1827	Cell1827	Group2	189188.470380911
Cell1828	Cell1828	Group2	673739.988307504
Cell1829	Cell1829	Group2	333114.447851761
Cell1830	Cell1830	Group2	514911.005372374
Cell1831	Cell1831	Group2	263393.742518499
Cell1832	Cell1832	Group2	365261.069463235
Cell1833	Cell1833	Group2	605713.160486376
Cell1834	Cell1834	Group2	490597.324166303
Cell1835	Cell1835	Group2	573676.639988402
Cell1836	Cell1836	Group2	112332.575917163
Cell1837	Cell1837	Group2	365746.763686025
Cell1838	Cell1838	Group2	294286.177761335
Cell1839	Cell1839	Group2	224642.539685788
Cell1840	Cell1840	Group2	236805.018157431
Cell1841	Cell1841	Group2	884265.618829762
Cell1842	Cell1842	Group2	424613.928130873
Cell1843	Cell1843	Group2	302584.135551384
Cell1844	Cell1844	Group2	572914.871126884
Cell1845	Cell1845	Group2	238934.943872486
Cell1846	Cell1846	Group2	357575.485070945
Cell1847	Cell1847	Group2	772713.50123644
Cell1848	Cell1848	Group2	270857.864866504
Cell1849	Cell1849	Group2	205769.818367892
Cell1850	Cell1850	Group2	238541.7069144
Cell1851	Cell1851	Group2	177419.105394301
Cell1852	Cell1852	Group2	382372.114944803
Cell1853	Cell1853	Group2	399692.256866141
Cell1854	Cell1854	Group2	545461.888069232
Cell1855	Cell1855	Group2	952398.15234054
Cell1856	Cell1856	Group2	753997.263346838
Cell1857	Cell1857	Group2	157700.16195279
Cell1858	Cell1858	Group2	1069815.90388844
Cell1859	Cell1859	Group2	357665.681274685
Cell1860	Cell1860	Group2	262370.634465221
Cell1861	Cell1861	Group2	983109.493218641
Cell1862	Cell1862	Group2	424194.090082734
Cell1863	Cell1863	Group2	913399.030541504
Cell1864	Cell1864	Group2	321149.987711803
Cell1865	Cell1865	Group2	214189.062256293
Cell1866	Cell1866	Group2	103480.269015022
Cell1867	Cell1867	Group2	639953.28093015
Cell1868	Cell1868	Group2	195267.377684021
Cell1869	Cell1869	Group2	550526.013915101
Cell1870	Cell1870	Group2	353604.431710959
Cell1871	Cell1871	Group2	435225.474773775
Cell1872	Cell1872	Group2	694878.960882481
Cell1873	Cell1873	Group2	247557.808116346
Cell1874	Cell1874	Group2	251050.668342867
Cell1875	Cell1875	Group2	287440.963692795
Cell1876	Cell1876	Group2	615363.170130387
Cell1877	Cell1877	Group2	249098.360356811
Cell1878	Cell1878	Group2	297125.24266285
Cell1879	Cell1879	Group2	526720.76089985
Cell1880	Cell1880	Group2	521294.15754919
Cell1881	Cell1881	Group2	526869.124137006
Cell1882	Cell1882	Group2	339150.918021081
Cell1883	Cell1883	Group2	516363.384075335
Cell1884	Cell1884	Group2	389954.321349078
Cell1885	Cell1885	Group2	226954.897248583
Cell1886	Cell1886	Group2	953870.523017412
Cell1887	Cell1887	Group2	109950.644226614
Cell1888	Cell1888	Group2	542211.963631398
Cell1889	Cell1889	Group2	402956.265549638
Cell1890	Cell1890	Group2	333941.877701599
Cell1891	Cell1891	Group2	229836.252517862
Cell1892	Cell1892	Group2	282610.534298617
Cell1893	Cell1893	Group2	954593.350366891
Cell1894	Cell1894	Group2	311190.511634744
Cell1895	Cell1895	Group2	262708.174518092
Cell1896	Cell1896	Group2	196388.973527368
Cell1897	Cell1897	Group2	246065.706567742
Cell1898	Cell1898	Group2	313528.731312325
Cell1899	Cell1899	Group2	148072.484565837
Cell1900	Cell1900	Group2	645950.094256872
Cell1901	Cell1901	Group2	349037.465929877
Cell1902	Cell1902	Group2	781023.948782876
Cell1903	Cell1903	Group2	590531.704415658
Cell1904	Cell1904	Group2	758070.731937076
